case_id,cycle_idx,variant,selector_type,bucket,result_source,route,actual_route,configured_L,search_l,recall@10,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,qps,mean_candidate_count,mean_route_overhead_us,prefilter_count,graph_count,fallback_count,cpu_cap_enforced,supports_recall_claim,selection_policy,source_prefix
cycle02_retrain_each_cycle_intersect_u3e-03,2,retrain_each_cycle,intersect,u3e-03,original_selected,prefilter,prefilter,75,75,99.67,171.408725,169.724,179.719,201.651,5832.179694,3000.0,50.966,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u1e-02,2,retrain_each_cycle,intersect,u1e-02,original_selected,prefilter,prefilter,50,50,99.65,304.599724,302.626,316.429,349.431,3282.282215,10000.0,57.641,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u5e-02,2,retrain_each_cycle,intersect,u5e-02,original_selected,prefilter,prefilter,50,50,99.28,897.695253,896.67,969.789,1002.094,1113.836633,50000.0,103.095,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u1e-01,2,retrain_each_cycle,intersect,u1e-01,original_selected,prefilter,prefilter,150,150,98.64,1603.097739,1553.288,1788.208,1811.621,623.747634,100000.0,147.05,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u25,2,retrain_each_cycle,intersect,u25,original_selected,prefilter,prefilter,200,200,98.06,3552.615972,3495.514,3730.159,3766.488,281.47138,250000.0,312.028,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u30,2,retrain_each_cycle,intersect,u30,original_selected,prefilter,prefilter,250,250,98.59,4227.62485,4186.491,4423.208,4472.857,236.529962,300000.0,366.415,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u50,2,retrain_each_cycle,intersect,u50,original_selected,prefilter,prefilter,400,400,99.23,6987.798442,6926.682,7165.915,7191.918,143.102837,500000.0,578.222,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u75,2,retrain_each_cycle,intersect,u75,original_selected,graph,graph,400,400,98.67,8135.153569,8114.596,8365.504,8635.288,122.920833,750000.0,15.485,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_intersect_u100,2,retrain_each_cycle,intersect,u100,original_selected,graph,graph,300,300,98.23,6277.185521,6252.505,6502.855,6770.654,159.30257,1000000.0,15.725,0,1000,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u1e-03,2,retrain_each_cycle,range,u1e-03,original_selected,prefilter,prefilter,50,50,99.86,134.433995,133.59,141.927,150.289,7435.869603,1000.0,51.559,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u3e-03,2,retrain_each_cycle,range,u3e-03,original_selected,prefilter,prefilter,50,50,99.67,174.176847,172.752,181.649,198.466,5739.338748,3000.0,53.932,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u1e-02,2,retrain_each_cycle,range,u1e-02,original_selected,prefilter,prefilter,50,50,99.65,314.558635,311.931,330.227,365.577,3178.241201,10000.0,65.476,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u5e-02,2,retrain_each_cycle,range,u5e-02,original_selected,prefilter,prefilter,75,75,99.28,942.147813,932.729,1037.635,1062.235,1061.280534,50000.0,119.081,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u1e-01,2,retrain_each_cycle,range,u1e-01,original_selected,prefilter,prefilter,50,50,98.64,1616.147064,1569.559,1806.617,1829.779,618.720544,100000.0,167.376,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
cycle02_retrain_each_cycle_range_u25,2,retrain_each_cycle,range,u25,original_selected,prefilter,prefilter,200,200,98.06,3576.441492,3518.619,3749.47,3787.668,279.597739,250000.0,334.199,1000,0,0,True,True,post_hoc_retuned_fastest_feasible_recall_ge_98,experiments/pq_drift_1m_aris_main_20260522/indexes/phaseC_cycle02_retrain_each_cycle
