format,index_prefix,selector_type,query_label_file,query_count,threads,beamwidth,mem_L,route,resolved_route,L,hybrid_enabled,tau_m,threshold_version,min_tau_m,max_tau_m,min_threshold_version,max_threshold_version,qps,avg_latency_us,p50_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_hops,mean_ios,mean_candidate_count,mean_route_overhead_us,fallback_count,prefilter_count,graph_count,empty_count,recall_at,process_max_rss_kb,max_rss_kb,recall,recall@10,chosen_L,status,bucket,filter_type,points,selected_route,exp6_latency_budget_ms,within_latency_budget,threshold_exceeded,target_recall@10,source_experiment
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,15,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,14033.575195,1047.176025,1001.0,1204.0,1259.0,1761.0,2465.0,0.0,96.0,3000.0,18.196,0,1000,0,0,10,37808,37808,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u3e-03.spmat,1000,16,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,13800.552734,1134.435059,1055.0,1373.0,1561.0,2054.0,2821.0,0.0,96.0,3000.0,19.699,0,1000,0,0,10,38408,38408,99.940002,99.940002,10,ok,u3e-03,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,1,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,2650.52002,348.303009,345.0,357.0,361.0,442.0,610.0,0.0,128.0,10000.0,26.667,0,1000,0,0,10,28896,28896,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,2,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,4821.699219,384.002991,361.0,401.0,478.0,1078.0,1528.0,0.0,128.0,10000.0,28.273,0,1000,0,0,10,29736,29736,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,3,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,7148.905273,388.002991,364.0,418.0,489.0,1090.0,1387.0,0.0,128.0,10000.0,28.692,0,1000,0,0,10,30172,30172,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,4,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,8459.947266,439.502991,408.0,529.0,696.0,1148.0,1439.0,0.0,128.0,10000.0,30.248,0,1000,0,0,10,30752,30752,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,5,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,10345.120117,449.833008,420.0,530.0,677.0,1093.0,1523.0,0.0,128.0,10000.0,29.896,0,1000,0,0,10,31624,31624,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,6,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,11334.473633,494.959991,481.0,592.0,696.0,1189.0,1675.0,0.0,128.0,10000.0,30.481,0,1000,0,0,10,31980,31980,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,7,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,12818.962891,511.006989,485.0,655.0,801.0,1031.0,1768.0,0.0,128.0,10000.0,31.807,0,1000,0,0,10,32764,32764,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
pipeann.hybrid.search.v1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/exp6_query_thread_budget/tmp/direct_1m,intersect,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/labels/query_1000_u1e-02.spmat,1000,8,4,0,prefilter,prefilter,10,True,0,1,0,0,1,1,10924.262695,696.315002,685.0,896.0,988.0,1562.0,2114.0,0.0,128.0,10000.0,31.566,0,1000,0,0,10,33404,33404,99.940002,99.940002,10,ok,u1e-02,intersect,1000000,prefilter,10.0,True,False,98.0,exp4_intersect_range_selectivity
