dataset,bucket_name,selectivity,thread,route_decision,qps,query_p99_latency_us,query_p999_latency_us,cpu_pct,mean_ios,real_read_iops,real_read_mb_s,real_iops,real_mb_s,real_qd,real_read_await_ms,real_ssd_lat_status,real_ssd_lat_p50_ms,real_ssd_lat_p95_ms,real_ssd_lat_p99_ms,fio_matched_iodepth,fio_matched_achieved_qd,fio_iops,fio_mb_s,fio_bw_mb_s,iops_vs_fio_ratio,bw_vs_fio_ratio,fio_lat_mean_ms,fio_lat_p99_ms,fio_capacity_ratio,disk_metrics_status,bottleneck_conclusion
fashion_mnist784,u100,1.0,1,prefilter,607.96698,1713.0,1784.0,170.271967,192.0,2.686046,0.010492,2.686046,0.010492,0.001635,0.26087,unavailable_no_events,,,,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.00024145038515714827,0.00024144193605821787,0.087434355233,0.11008,0.00024145038515714827,ok,io_latency_or_queue_underfilled
fashion_mnist784,u100,1.0,4,prefilter,2368.1875,1972.0,2326.0,502.052773,192.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u100,1.0,8,prefilter,3718.600586,3117.0,3301.0,747.09742,192.0,0.0,0.0,0.0,0.0,0.000496,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
gist960,u0p1,0.001,1,prefilter,3864.91748,298.0,1389.0,728.810267,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,10161.227959,79.38459300994873,79.38459300994873,0.0,0.0,0.095697216194,0.160768,0.0,ok,cpu_or_algorithm_bound
gist960,u0p1,0.001,4,prefilter,14684.775391,279.0,1721.0,1458.497616,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,39179.794007,306.0921401977539,306.0921401977539,0.0,0.0,0.099312971246,0.156672,0.0,ok,cpu_or_algorithm_bound
gist960,u0p1,0.001,8,prefilter,8315.732422,1187.0,4005.0,818.401737,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,75124.062531,586.90673828125,586.90673828125,0.0,0.0,0.103697411972,0.1792,0.0,ok,cpu_or_algorithm_bound
gist960,u0p5,0.005,1,prefilter,2123.818359,537.0,2184.0,493.768742,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,10161.227959,79.38459300994873,79.38459300994873,0.0,0.0,0.095697216194,0.160768,0.0,ok,cpu_or_algorithm_bound
gist960,u0p5,0.005,4,prefilter,5345.723145,1220.0,2845.0,740.590734,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,39179.794007,306.0921401977539,306.0921401977539,0.0,0.0,0.099312971246,0.156672,0.0,ok,cpu_or_algorithm_bound
gist960,u0p5,0.005,8,prefilter,7768.65918,1405.0,4740.0,808.555327,96.0,0.0,0.0,0.0,0.0,0.000995,,unavailable_no_events,,,,1,1.0,75124.062531,586.90673828125,586.90673828125,0.0,0.0,0.103697411972,0.1792,0.0,ok,cpu_or_algorithm_bound
gist960,u1,0.01,1,graph,272.739899,4214.0,6458.0,247.346117,119.220001,31433.32065,231.312699,31433.32065,231.312699,3.245424,0.103244,ok_bpftrace,0.1,0.13,0.16,4,4.0,38989.50035,304.6062526702881,304.6062526702881,0.806199627279912,0.7593826356886295,0.09991559684899999,0.156672,0.806199627279912,ok,inconclusive_mixed
gist960,u1,0.01,4,graph,906.130188,5341.0,6648.0,696.400952,119.071999,100406.080278,738.808712,100406.080278,738.808712,11.540472,0.114914,ok_bpftrace,0.11,0.17,0.22,8,8.0,224840.338655,1756.5724363327026,1756.5724363327026,0.4465661316765107,0.42059678082075197,0.13944821094399998,0.313344,0.4465661316765107,ok,cpu_or_algorithm_bound
gist960,u1,0.01,8,graph,1519.156494,6506.0,10192.0,973.023,118.873001,125182.235742,921.170749,125182.235742,921.170749,16.968886,0.135553,ok_bpftrace,0.12,0.23,0.3,16,16.0,431480.950635,3370.977216720581,3370.977216720581,0.29012227667935825,0.27326519575120445,0.293376011942,0.626688,0.29012227667935825,ok,cpu_or_algorithm_bound
gist960,u5,0.05,1,graph,273.431915,4215.0,5288.0,259.406574,119.257004,31427.664963,231.26864,31427.664963,231.26864,3.240969,0.103097,ok_bpftrace,0.1,0.13,0.16,4,4.0,38989.50035,304.6062526702881,304.6062526702881,0.8060545706121109,0.7592379932211366,0.09991559684899999,0.156672,0.8060545706121109,ok,inconclusive_mixed
gist960,u5,0.05,4,graph,909.072693,5261.0,5772.0,696.634901,119.032997,100327.334032,738.233283,100327.334032,738.233283,11.486735,0.114489,ok_bpftrace,0.11,0.17,0.22,8,8.0,224840.338655,1756.5724363327026,1756.5724363327026,0.4462158998343464,0.4202691945578129,0.13944821094399998,0.313344,0.4462158998343464,ok,cpu_or_algorithm_bound
