dataset,bucket_name,selectivity,thread,route_decision,qps,query_p99_latency_us,query_p999_latency_us,cpu_pct,mean_ios,real_read_iops,real_read_mb_s,real_iops,real_mb_s,real_qd,real_read_await_ms,real_ssd_lat_status,real_ssd_lat_p50_ms,real_ssd_lat_p95_ms,real_ssd_lat_p99_ms,fio_matched_iodepth,fio_matched_achieved_qd,fio_iops,fio_mb_s,fio_bw_mb_s,iops_vs_fio_ratio,bw_vs_fio_ratio,fio_lat_mean_ms,fio_lat_p99_ms,fio_capacity_ratio,disk_metrics_status,bottleneck_conclusion
fashion_mnist784,u50,0.5,1,prefilter,358.738495,13151.0,16709.0,156.541431,192.0,2761.53437,14.248547,2761.53437,14.248547,0.376736,0.136278,ok_bpftrace,0.12,0.2,0.26,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.24823608280022114,0.32788760710031567,0.087434355233,0.11008,0.32788760710031567,ok,io_latency_or_queue_underfilled
fashion_mnist784,u50,0.5,4,prefilter,4085.359619,1120.0,1310.0,452.134844,192.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u50,0.5,8,prefilter,5149.612305,2336.0,2627.0,780.701005,192.0,0.0,0.0,0.0,0.0,0.000996,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u100,1.0,1,prefilter,534.022156,5871.0,7547.0,167.449047,192.0,773.455122,3.758772,773.455122,3.758772,0.09803,0.126289,ok_bpftrace,0.11,0.19,0.25,1,1.0,11124.629179,43.45558261871338,43.45558261871338,0.06952637337881372,0.08649687274889628,0.087434355233,0.11008,0.08649687274889628,ok,io_latency_or_queue_underfilled
fashion_mnist784,u100,1.0,4,prefilter,2556.74292,1717.0,1816.0,487.974396,192.0,0.0,0.0,0.0,0.0,0.000664,,unavailable_no_events,,,,1,1.0,43596.046798,170.29705715179443,170.29705715179443,0.0,0.0,0.089322793022,0.136192,0.0,ok,cpu_or_algorithm_bound
fashion_mnist784,u100,1.0,8,prefilter,3530.185547,3309.0,4698.0,739.191654,192.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,85020.9993,332.1134080886841,332.1134080886841,0.0,0.0,0.091665037879,0.154624,0.0,ok,cpu_or_algorithm_bound
gist960,u0p1,0.001,1,prefilter,2307.600098,3802.0,16424.0,505.077827,96.0,635.999316,4.776641,635.999316,4.776641,0.07842,0.122257,ok_bpftrace,0.11,0.18,0.19,1,1.0,10161.227959,79.38459300994873,79.38459300994873,0.06259079301893654,0.06017088226932619,0.095697216194,0.160768,0.06259079301893654,ok,io_latency_or_queue_underfilled
gist960,u0p1,0.001,4,prefilter,8901.819336,535.0,2499.0,733.047578,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,39179.794007,306.0921401977539,306.0921401977539,0.0,0.0,0.099312971246,0.156672,0.0,ok,cpu_or_algorithm_bound
gist960,u0p1,0.001,8,prefilter,8678.133789,1076.0,4105.0,816.377922,96.0,0.0,0.0,0.0,0.0,0.0,,unavailable_no_events,,,,1,1.0,75124.062531,586.90673828125,586.90673828125,0.0,0.0,0.103697411972,0.1792,0.0,ok,cpu_or_algorithm_bound
gist960,u0p5,0.005,1,prefilter,938.88092,9044.0,16498.0,370.789487,96.0,2313.945681,17.419693,2313.945681,17.419693,0.282577,0.122119,ok_bpftrace,0.11,0.18,0.19,1,1.0,10161.227959,79.38459300994873,79.38459300994873,0.22772303606775132,0.2194341790958972,0.095697216194,0.160768,0.22772303606775132,ok,io_latency_or_queue_underfilled
