actual_route,beamwidth,bucket,passes_p95_10ms,passes_primary,route,row_index,search_l,selector_type,serving_configuration,v1_avg_latency_ms,v1_p95_latency_ms,v1_recall@10,v3_avg_latency_ms,v3_bytes_per_4k,v3_mean_n_4k,v3_mean_read_size,v3_p95_latency_ms,v3_recall@10,variant
prefilter,4,u25,True,True,prefilter,65,150,intersect,selected route/L/beamwidth,4.411347863,4.630279000000001,98.26,4.480409896,4096.0,222.434,911089.664,4.830633,98.26,no_retrain_across_cycles
prefilter,4,u30,True,True,prefilter,66,75,intersect,selected route/L/beamwidth,5.128264006999999,5.3333900000000005,98.06,4.926075857,4096.0,222.366,910811.136,5.186814999999999,98.06,no_retrain_across_cycles
prefilter,4,u50,True,True,prefilter,67,250,intersect,selected route/L/beamwidth,8.028008418999999,8.295677,98.3,7.600204044,4096.0,288.608,1182138.368,7.966953999999999,98.3,no_retrain_across_cycles
graph,8,u75,True,True,graph,68,470,intersect,selected route/L/beamwidth,9.624607314999999,9.93517,98.41,6.608314985,4096.0,551.965,2260848.64,6.930452,98.41,no_retrain_across_cycles
graph,8,u100,True,True,graph,69,400,intersect,selected route/L/beamwidth,8.234724449,8.534214,98.53,5.715789605,4096.0,472.974,1937301.504,6.096132,98.53,no_retrain_across_cycles
prefilter,4,u1e-03,True,True,prefilter,70,75,range,selected route/L/beamwidth,0.203046691,0.236466,99.97,0.20393962,4096.0,110.714,453484.544,0.223119,99.97,no_retrain_across_cycles
prefilter,4,u3e-03,True,True,prefilter,71,50,range,selected route/L/beamwidth,0.28654709700000003,0.314682,99.68,0.303684572,4096.0,110.799,453832.704,0.336719,99.68,no_retrain_across_cycles
prefilter,4,u1e-02,True,True,prefilter,72,50,range,selected route/L/beamwidth,0.561500224,0.609183,99.53,0.5892884629999999,4096.0,148.039,606367.744,0.6377759999999999,99.53,no_retrain_across_cycles
prefilter,4,u5e-02,True,True,prefilter,73,75,range,selected route/L/beamwidth,1.451779488,1.5322660000000001,99.19,1.484186684,4096.0,184.267,754757.632,1.5362850000000001,99.19,no_retrain_across_cycles
prefilter,4,u1e-01,True,True,prefilter,74,50,range,selected route/L/beamwidth,2.225260123,2.337672,98.69,2.2506330670000003,4096.0,184.323,754987.008,2.34589,98.69,no_retrain_across_cycles
prefilter,4,u25,True,True,prefilter,75,50,range,selected route/L/beamwidth,4.510329598999999,4.674626,98.26,4.43675663,4096.0,222.434,911089.664,4.6765609999999995,98.26,no_retrain_across_cycles
prefilter,4,u30,True,True,prefilter,76,150,range,selected route/L/beamwidth,5.108883196,5.310598,98.06,5.062125899,4096.0,222.366,910811.136,5.347225000000001,98.06,no_retrain_across_cycles
prefilter,4,u50,True,True,prefilter,77,300,range,selected route/L/beamwidth,8.049895857000001,8.341143,98.84,7.836951616,4096.0,346.219,1418113.024,8.201690000000001,98.84,no_retrain_across_cycles
mixed,8,u75,True,True,graph,78,450,range,selected route/L/beamwidth,9.290396203,9.600925,98.33,6.361046069,4096.0,529.215,2167664.64,6.698158,98.33,no_retrain_across_cycles
mixed,8,u100,True,True,graph,79,400,range,selected route/L/beamwidth,8.405738198,9.033155,98.53,5.772830882999999,4096.0,472.973,1937297.408,6.174303,98.53,no_retrain_across_cycles
prefilter,4,u1e-03,True,True,prefilter,80,50,intersect,selected route/L/beamwidth,0.15904004,0.175354,99.9,0.16335565600000002,4096.0,111.287,455831.552,0.186002,99.9,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,81,75,intersect,selected route/L/beamwidth,0.211170479,0.23840999999999998,99.68,0.214884954,4096.0,110.778,453746.688,0.241091,99.68,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,82,100,intersect,selected route/L/beamwidth,0.386687644,0.41615800000000003,99.67,0.399922277,4096.0,147.923,605892.608,0.43050900000000003,99.67,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,83,150,intersect,selected route/L/beamwidth,1.157744603,1.24122,99.31,1.166866153,4096.0,185.625,760320.0,1.214716,99.31,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,84,150,intersect,selected route/L/beamwidth,1.854833816,2.030679,98.66,1.847081767,4096.0,185.1,758169.6,1.906626,98.66,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,85,450,intersect,selected route/L/beamwidth,5.248454262999999,5.590941,98.42,4.387460462,4096.0,519.232,2126774.272,4.520335,98.42,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,86,470,intersect,selected route/L/beamwidth,6.087199123,6.729674,98.64,5.142007899,4096.0,542.166,2220711.936,5.40099,98.64,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,87,400,intersect,selected route/L/beamwidth,9.463226682,10.022369000000001,98.46,7.632658786,4096.0,462.557,1894633.472,7.951773,98.46,retrain_each_cycle
