bucket,case_id,cycle_idx,matched_reference_L,matched_reference_avg_latency_ms,matched_reference_route,matched_reference_status,matched_reference_target_recall,no_retrain_L,no_retrain_avg_latency_ms,no_retrain_recall,no_retrain_route,no_retrain_variant,reference_L,reference_avg_latency_ms,reference_recall,reference_route,reference_variant,selector_type,v3_L,v3_avg_latency_ms,v3_beamwidth,v3_p95_latency_ms,v3_recall@10,v3_route
u25,cycle04_no_retrain_across_cycles_range_u25,4,300,4.806488426,prefilter,matched,98.35000000000001,250,4.6434195570000005,98.25,prefilter,no_retrain_across_cycles,300,4.265036729,98.45,prefilter,retrain_each_cycle,range,250,4.355428713999999,4,4.541556,98.25,prefilter
u30,cycle04_no_retrain_across_cycles_range_u30,4,300,5.515105553000001,prefilter,matched,98.36,300,5.515105553000001,98.59,prefilter,no_retrain_across_cycles,300,5.081688915,98.46,prefilter,retrain_each_cycle,range,300,5.02423894,4,5.166647,98.59,prefilter
u3e-03,cycle04_no_retrain_across_cycles_range_u3e-03,4,100,0.28426850400000003,prefilter,matched,99.77000000000001,50,0.279077738,99.76,prefilter,no_retrain_across_cycles,50,0.21156118100000001,99.87,prefilter,retrain_each_cycle,range,50,0.295292793,4,0.326135,99.76,prefilter
u50,cycle04_no_retrain_across_cycles_range_u50,4,300,8.280045796,prefilter,matched,98.29,300,8.280045796,98.31,prefilter,no_retrain_across_cycles,300,7.9967815049999995,98.39,prefilter,retrain_each_cycle,range,300,7.617920558,4,7.79519,98.31,prefilter
u5e-02,cycle04_no_retrain_across_cycles_range_u5e-02,4,50,1.473733389,prefilter,matched,99.03,50,1.473733389,99.09,prefilter,no_retrain_across_cycles,150,1.175634123,99.13,prefilter,retrain_each_cycle,range,50,1.4606411049999999,4,1.512923,99.09,prefilter
u75,cycle04_no_retrain_across_cycles_range_u75,4,470,10.194807736000001,graph,matched,98.05000000000001,470,10.194807736000001,98.08,graph,no_retrain_across_cycles,450,9.40267951,98.15,graph,retrain_each_cycle,range,470,6.692427336,8,7.112367,98.07,graph
u100,cycle05_no_retrain_across_cycles_intersect_u100,5,400,8.192582687,graph,matched,97.92,400,8.192582687,98.26,graph,no_retrain_across_cycles,300,6.445470187,98.02,graph,retrain_each_cycle,intersect,400,5.747259068,8,6.124560000000001,98.25,graph
u1e-01,cycle05_no_retrain_across_cycles_intersect_u1e-01,5,200,2.304605098,prefilter,matched,98.80000000000001,50,2.1963606880000004,98.79,prefilter,no_retrain_across_cycles,75,1.80369259,98.9,prefilter,retrain_each_cycle,intersect,50,2.2472766109999998,4,2.4131060000000004,98.79,prefilter
u1e-02,cycle05_no_retrain_across_cycles_intersect_u1e-02,5,75,0.545184259,prefilter,matched,99.53,75,0.545184259,99.6,prefilter,no_retrain_across_cycles,100,0.385107908,99.63,prefilter,retrain_each_cycle,intersect,75,0.568451472,4,0.609891,99.6,prefilter
u1e-03,cycle05_no_retrain_across_cycles_intersect_u1e-03,5,50,0.200273413,prefilter,matched,99.87,50,0.200273413,99.97,prefilter,no_retrain_across_cycles,75,0.166125856,99.97,prefilter,retrain_each_cycle,intersect,50,0.202360568,4,0.2204,99.97,prefilter
u25,cycle05_no_retrain_across_cycles_intersect_u25,5,300,4.700712388,prefilter,matched,98.47,200,4.514959481,98.07,prefilter,no_retrain_across_cycles,250,4.234073229,98.57,prefilter,retrain_each_cycle,intersect,200,4.2709698099999995,4,4.462532,98.07,prefilter
u30,cycle05_no_retrain_across_cycles_intersect_u30,5,300,5.517851686,prefilter,matched,98.82000000000001,250,5.337834967,98.55,prefilter,no_retrain_across_cycles,300,4.919916712,98.92,prefilter,retrain_each_cycle,intersect,250,5.088453692,4,5.394103,98.55,prefilter
u3e-03,cycle05_no_retrain_across_cycles_intersect_u3e-03,5,50,0.27022852599999997,prefilter,matched,99.71000000000001,50,0.27022852599999997,99.74,prefilter,no_retrain_across_cycles,100,0.212909061,99.81,prefilter,retrain_each_cycle,intersect,50,0.292736066,4,0.319753,99.74,prefilter
u50,cycle05_no_retrain_across_cycles_intersect_u50,5,300,8.292069526999999,prefilter,matched,98.4,300,8.292069526999999,98.43,prefilter,no_retrain_across_cycles,300,7.883352117,98.5,prefilter,retrain_each_cycle,intersect,300,7.6619338390000005,4,8.072999,98.43,prefilter
u5e-02,cycle05_no_retrain_across_cycles_intersect_u5e-02,5,200,1.5623008500000002,prefilter,matched,99.22,50,1.452034978,99.2,prefilter,no_retrain_across_cycles,75,1.1522894920000002,99.32,prefilter,retrain_each_cycle,intersect,50,1.451262592,4,1.510117,99.2,prefilter
u75,cycle05_no_retrain_across_cycles_intersect_u75,5,470,10.203402046999999,graph,matched,98.2,450,9.155023813,98.12,graph,no_retrain_across_cycles,400,8.21508784,98.3,graph,retrain_each_cycle,intersect,450,6.387075937,8,6.788408,98.12,graph
u100,cycle05_no_retrain_across_cycles_range_u100,5,400,8.381649611999999,graph,matched,97.92,400,8.381649611999999,98.26,graph,no_retrain_across_cycles,300,6.345860069,98.02,graph,retrain_each_cycle,range,400,5.817345733,8,6.22226,98.26,graph
u1e-01,cycle05_no_retrain_across_cycles_range_u1e-01,5,200,2.291184774,prefilter,matched,98.80000000000001,75,2.191369612,98.79,prefilter,no_retrain_across_cycles,75,1.816132787,98.9,prefilter,retrain_each_cycle,range,75,2.22038206,4,2.2807370000000002,98.79,prefilter
u1e-02,cycle05_no_retrain_across_cycles_range_u1e-02,5,50,0.554548028,prefilter,matched,99.53,50,0.554548028,99.6,prefilter,no_retrain_across_cycles,100,0.396019337,99.63,prefilter,retrain_each_cycle,range,50,0.5792773120000001,4,0.618679,99.6,prefilter
u1e-03,cycle05_no_retrain_across_cycles_range_u1e-03,5,50,0.193901765,prefilter,matched,99.87,50,0.193901765,99.97,prefilter,no_retrain_across_cycles,50,0.165533272,99.97,prefilter,retrain_each_cycle,range,50,0.198962485,4,0.213826,99.97,prefilter
